"","H3K4me0.","H3K4me1.","H3K4me2.","H3K4ac1.","H3K9me0K14ac0.","H3K9me1K14ac0.","H3K9me2K14ac0.","H3K9me3K14ac0.","H3K9ac1K14ac0.","H3K9me0K14ac1.","H3K9me1K14ac1.","H3K9me2K14ac1.","H3K9me3K14ac1.","H3K9ac1K14ac1.","H3K9me0S10ph1K14ac0.","H3K9me1S10ph1K14ac0.","H3K9me2S10ph1K14ac0.","H3K9me3S10ph1K14ac0.","H3K9me2S10ph1K14ac1.","H3K9me3S10ph1K14ac1.","H3K18ac0K23ac0.","H3K18ac1K23ac0.","H3K18ac0K23ac1.","H3K18ac1K23ac1.","H3K18ub1K23ac0.","H3K27me0K36me0.","H3K27me1K36me0.","H3K27me1K36me1.","H3K27me1K36me2.","H3K27me1K36me3.","H3K27me2K36me0.","H3K27me2K36me1.","H3K27me2K36me2.","H3K27me3K36me0.","H3K27me3K36me1.","H3K27me3K36me2.","H3K27ac1K36me0.","H3K27ac1K36me1.","H3K27ac1K36me2.","H3K27ac1K36me3.","H3.3K27me0K36me0.","H3NORM.41.49.","H3K56me0.","H3K79me0.","H3K79me1.","H3K79me2.","H3K27me0K36me1.","H3K27me0K36me2.","H3K27me0K36me3."
"PC3",0.10501,0.0477,0.14265,0.07515,0.12528,-0.01981,0.03595,0.12364,-0.07265,0.12233,0.17161,0.09459,0.20237,0.06864,0.1468,0.19248,0.2046,-0.02913,0.26284,0.00585,0.32781,0.33402,0.2716,0.15263,0.14792,0.38864,0.38909,0.44848,0.12339,0.04211,-0.13365,-0.14077,-0.02386,0.10168,0.01958,0.06768,0.20829,0.56245,0.0692,-0.05145,0.51547,-0.07874,0.99191,0.64197,0.81638,0.51621,0.47445,0.01297,0.16649
"YAPC",-0.19149,-0.19636,-0.12356,-0.18703,-0.09778,-0.23263,-0.21561,-0.20673,-0.17661,-0.19192,-0.20603,-0.26069,0.08602,-0.18261,0.65558,0.4561,0.40608,-0.00346,0.30199,0.10575,-0.31665,-0.24801,-0.14026,0.09283,-0.07288,-0.02397,-0.31223,-0.24202,-0.27859,-0.19109,-0.27915,-0.11154,-0.30153,-0.19889,-0.00256,0.19269,-0.25361,0.33424,-0.0783,0.09919,-0.15724,-0.16837,-0.15537,-0.04376,0.1567,0.11526,0.01201,-0.32618,-0.11767
"MFC7",-0.19637,0.05126,-0.13308,-0.22581,-0.24667,-0.22837,-0.0156,-0.05662,0.18412,-0.10833,-0.15842,0.06947,-0.12516,-0.05758,0.32612,0.09979,0.42123,0.17149,0.13637,0.06485,0.17855,0.11408,-0.15358,0.18348,0.0192,-0.26858,-0.02656,-0.11884,-0.09361,-0.25504,-0.12789,-0.12153,0.03984,-0.40942,-0.22751,-0.07706,0.28765,-0.32383,-0.14987,-0.06227,-0.55373,-0.15386,1.00573,1.28003,1.24132,0.30107,-0.08905,0.06248,-0.02267
"NPC",-0.67952,-0.56795,-0.68825,-0.61555,-0.68277,-0.63234,-0.68441,-0.69299,-0.88029,-0.54654,-0.70746,-0.47143,-0.82644,-0.73842,-0.54652,-1.05893,-0.59804,-0.57159,-0.75794,-0.85228,-0.22175,-0.49059,-0.60061,-0.55725,0.97725,-0.02645,-0.06666,-0.17564,-0.21897,-0.38629,-0.13702,-0.30767,-0.23431,-0.21733,-0.28312,-0.18124,-0.29093,0.49542,-0.37886,-0.31891,-0.09086,-0.02395,0.36684,0.41593,0.60133,0.85043,0.27546,-0.1834,-0.13637
"A549",-0.40252,-0.21802,-0.15869,-0.05124,-0.09518,-0.11168,-0.20067,-0.22945,-0.21373,-0.11861,-0.18941,-0.02432,-0.08525,-0.08831,0.19194,0.29405,0.148,-0.01298,-0.121,-0.05403,-0.2431,0.01524,-0.1584,-0.24868,-0.00868,-0.13365,-0.08621,0.20431,-0.08132,-0.06964,-0.12801,-0.14892,-0.27513,-0.12644,-0.03465,0.0703,-0.03975,0.30536,0.26997,-0.13615,-0.14467,-0.10495,0.36987,0.25049,0.24185,-0.1501,0.10338,0.16479,0.12429
"A375",0.05959,0.01095,0.57751,0.07038,0.05463,-0.01898,-0.01079,-0.03532,-0.07374,0.04807,0.09256,-0.00482,0.02226,-0.02722,0.24091,0.31655,0.2056,0.07144,0.00904,0.06422,-0.13014,-0.09522,-0.38786,0.11571,-0.3565,-0.09973,-0.04045,-0.08614,-0.1615,0.0515,-0.08144,-0.02175,0.09246,0.00956,0.05668,0.048,-0.12367,0.18449,0.24992,0.10592,-0.13227,-0.01463,0.5695,0.37206,0.34243,0.20488,0.10434,-0.05232,-0.13963
"Astrocyte",-0.10527,-0.19471,-0.14662,-0.10715,-0.00024,0.01861,-0.03537,0.02365,-0.06404,-0.05818,-0.17233,-0.01715,-0.05847,-0.17534,-0.09016,0.14568,-0.12065,-0.19476,0.08173,0.09841,0.18076,-0.01587,-0.00101,-0.05565,-0.1643,0.05789,0.32675,0.02742,0.18215,0.02913,-0.07457,0.12265,0.2302,0.04458,0.02636,-0.00301,-0.09564,0.42416,-0.25478,-0.20376,0.10988,0.02201,0.55711,0.58488,0.48638,0.54584,0.19935,-0.0696,-0.11171
