"","X1","X2"
"H3K4me0.",0.0485621927041668,0.0364102486600422
"H3K4me1.",0.0518552393810622,0.0456917863629296
"H3K4me2.",0.0378265446429426,0.398396051895345
"H3K4ac1.",0.050684534594988,0.0879376226362836
"H3K9me0K14ac0.",0.0655411150986862,0.0775538709053481
"H3K9me1K14ac0.",0.0667950998929302,0.0440810418382157
"H3K9me2K14ac0.",0.0638298063877474,0.0357601331878773
"H3K9me3K14ac0.",0.0773488971007884,0.024344215411342
"H3K9ac1K14ac0.",0.0548194143376192,0.0367498631082602
"H3K9me0K14ac1.",0.0700092465976344,0.0589622630400926
"H3K9me1K14ac1.",0.0475962225338544,0.0654033414828771
"H3K9me2K14ac1.",0.0933389899095709,0.0556497130782853
"H3K9me3K14ac1.",0.0537975126613281,0.114497599871519
"H3K9ac1K14ac1.",0.0408694542619007,0.0694526485474665
"H3K9me0S10ph1K14ac0.",0.0506017626653168,0.64500410491819
"H3K9me1S10ph1K14ac0.",0.0883352969610176,0.557092331093751
"H3K9me2S10ph1K14ac0.",0.0655082960865207,0.390407674790245
"H3K9me3S10ph1K14ac0.",0.0464539955235705,0.134546536048645
"H3K9me2S10ph1K14ac1.",0.0896917464586898,0.166153292080985
"H3K9me3S10ph1K14ac1.",0.0773218352918836,0.125537770030531
"H3K18ac0K23ac0.",0.159874826138038,2.22044604925031e-16
"H3K18ac1K23ac0.",0.125482620118537,0.0429353998373983
"H3K18ac0K23ac1.",0.0820502982368524,0.0186759843185423
"H3K18ac1K23ac1.",0.0741479084096692,0.104403470269096
"H3K18ub1K23ac0.",0.355938862427035,2.22044604925031e-16
"H3K27me0K36me0.",0.147227947080549,0.0379958840666396
"H3K27me1K36me0.",0.24171660202417,2.22044604925031e-16
"H3K27me1K36me1.",0.175292214899843,0.117489567010949
"H3K27me1K36me2.",0.151383332121545,2.22044604925031e-16
"H3K27me1K36me3.",0.0868996460052927,0.0605598624792021
"H3K27me2K36me0.",0.0897032887146247,0.0171260887267678
"H3K27me2K36me1.",0.103017099775008,0.0390984612079092
"H3K27me2K36me2.",0.162120401099466,2.22044604925031e-16
"H3K27me3K36me0.",0.102979506609052,0.0335363169617931
"H3K27me3K36me1.",0.0876631473120697,0.0978373590201182
"H3K27me3K36me2.",0.0941746205039597,0.17883549068271
"H3K27ac1K36me0.",0.123913958798703,0.0245685892192215
"H3K27ac1K36me1.",0.450070599509365,0.299212904942087
"H3K27ac1K36me2.",0.0467399086635747,0.339168593169267
"H3K27ac1K36me3.",0.0496932802464651,0.122893265312046
"H3.3K27me0K36me0.",0.176624645767914,0.00282070651891311
"H3NORM.41.49.",0.114601633056783,0.0343745600940213
"H3K56me0.",1.09997587467237,0.209010215248234
"H3K79me0.",0.995672935534437,6.00910918072879e-16
"H3K79me1.",0.935214711139716,0.0996762389469287
"H3K79me2.",0.640110513908646,0.00162237623355961
"H3K27me0K36me1.",0.275325656753092,0.0904411714308725
"H3K27me0K36me2.",0.105857755430778,0.123017899736722
"H3K27me0K36me3.",0.106587287711044,0.109376383745697
